id,age,gender,ethnicity,race,education,marital_status,income,employment,language,disability,states,start_time,end_time,id,sample_options_id,sample_1,sample_1_text,sample_2,sample_2_text,sample_3,sample_3_text,sample_4,sample_4_text,sample_5,sample_5_text,sample_6,sample_6_text,sample_7,sample_7_text,sample_8,sample_8_text
1,45-54,female,hispanic,"native american",Bachelor,single,"Less than $25,000","Employed Part time",english,"i do not have a disability",kansas,"2024-01-04 01:37:10","2024-01-04 01:37:49",1,1,Original,"A few weeks ago at the Rosa Parks Pop-Up Pantry, those who took part were able to choose salmon as their meal's main part. Just like we give out colorful and fresh produce, we're also trying to offer different and tasty choices for the protein part too.",Persuasive,"At this very moment, the hearts of millions of New Yorkers are heavy. They are faced with the distressing challenge of providing food for their loved ones, amidst rising costs of food, rent, utilities, and other essential needs that remain brutally high. In an unfortunate turn of events, grocery prices are steadily climbing and, adding to the hardship, families dependent on SNAP have recently experienced substantial cuts to their vital benefits following the expiration of federal increases earlier this month. 

In the crucial hub of Albany, our leaders are counting down the days, less than a week, to finalize the state budget. It's of utmost importance that they make the compassionate choice to fully support hunger relief programs. These programs prove to be the beacon of hope in bridging the painful gap for our dear neighbors facing food insecurity.

Together with City Harvest and @feedingnys, let's take a stand.  Please join our heartfelt plea to our NYS representatives and lend a helping hand in feeding our beloved community. The link in our bio is awaiting your supportive action. Stand with us. #WeAreCityHarvest.",Empathetic,"The 'Generation Harvest' team, who are dedicated to feeding people in New York, recently gathered their friends and coworkers to assist with packing food at our Food Rescue Center this Saturday!  They managed to pack 38,000 apples into smaller bags from large bins, which will be delivered to food pantries and soup kitchens throughout the city. A big thanks to Generation Harvest! Want to join us? Click the link in our bio to find out more. #WeAreCityHarvest",Simplier,"Every Tuesday, Wednesday, and Thursday, people who are 60 or older can come to 252 West 116th street between 9:30AM and 3PM. Here, they can get kits with about food for 9 meals. Please tell anyone who could use these meals about it. For more information, visit https://foodbanknyc.org/get-help/.",Persuasive,"Last Friday held a touching moment for East Harlem, as it warmly reunited for the cherished 46th Annual Three Kings Day Parade  marking the first to be held in person since the start of the pandemic. This celebration of unity was graced by dignitaries, puppeteers, and captivating live musical performances, truly bringing to life the joyous spirit of the holiday. 

The theme for the 2023 celebration, "Entre Familia: Mental Health & Wellness of our Communities," resonated deeply. It gave the community a platform to focus on the crucial topic of mental health and wellness - a much-needed dialogue after the stormy trials of the last three years.

The enchanting celebration was set into motion by our very own Vice President of Advocacy, Elizabeth Angeles, who skillfully served as the MC for the Parade Breakfast at @elmuseo. This gathering emphasized the heartfelt appreciation for this year's honorees and provided a stage for local and citywide politicians to voice their solidarity for the rich cultural traditions and institutions our city prides itself on.

We send our heartfelt congratulations to all the honorees, who were recognized as madrinas and padrinos at the breakfast event, and to this year's Three Kings, who were honorably chosen by the committee: Dior Vargas, the industrious Mental Health Activist, Paloma Izquierdo-Hernndez, the diligent President and CEO of Urban Health Plan, and New York-born Puerto Rican Artist, @princessnokia.

High-standing elected officials, including @nycmayor, @nycspeakeradams, marklevinenyc, and @govkathyhochul graced the occasion with their presence and addressed the gathering joined by several other esteemed government leaders.

A special note of gratitude goes to El Museo's Manager of Government Relations and event lead, Chelsey Pellot, El Museos Executive Director Patrick Charpenel, and UWNYC Education Equity Cabinet Member Joe Rogers. Their collective effort in nominating Elizabeth for the MC role was instrumental.

In conclusion, we express our deep appreciation to Governor Hochul for recognizing the commendable efforts of the United Way of New York City and for her acknowledgement of the work we carry out in serving our community.",Empathetic,"It's heart-wrenching to acknowledge that when women and girls lack access to the essential period and hygiene products, it impairs their capability to flourish. This is why the Food Bank For New York City's #WomantoWoman campaign is so significantit's about New Yorkers lifting one another up. By offering these critical items and nourishing food, we ensure that everyone in our city has the tools they need to confidently show up in the world as the best possible version of themselves. I humbly invite you to be part of this compassionate and impactful campaign.",Simplier,"Part of what makes food insecurity so difficult to solve is that the underlying causes  poverty, unemployment/under-employment, and inconsistent access to enough healthy food  are often deeply interconnected. Moving in and out of food insecurity adds more stress to a household that may already be wrestling with instability and unpredictability.",Simplier,"Tomorrow represents a tough turning point for millions of New Yorkers, as they face the challenge of feeding their families with the conclusion of the emergency SNAP (Supplemental Nutrition Assistance Program) allotments. What does this mean? Every household that relies on SNAP will experience a minimum loss of $95 per month, a devastating blow to many. In the most severe cases, monthly budgets may plummet from $281 to a mere $23, while supermarket prices continue to catapult at a rate unseen in the past four decades. 

This is where you, and we, come in. Together with @foodbank4nyc and @unitedwaynyc, we're sounding a clarion call for a united, robust response to cushion this impending blow. We believe in the power and responsibility of community organizations, city and state legislators, and influential officeholders. We urge them to make full use of their budgets to bolster programs that deliver essential food support, creating a shield for our fellow New Yorkers from these sharp cuts to SNAP

But our call is not restricted to the city or state level. At a national scale, we're putting forth an appeal to Congress, asking them to amplify SNAP support by implementing pivotal changes to the Farmain Bill. In unity, we can make a tangible difference. Together, we can ensure that hunger is not an epidemic that our fellow New Yorkers will have to contend with. Stand with us in this cause - #WeAreCityHarvest."
2,25-34,male,"non hispanic",black,Bachelor,widowed,"$50,000 - $74,999",Unemployed,spanish,"i do not have a disability",illinois,"2024-01-06 01:53:27","2024-01-06 01:54:04",2,2,Simplier,"Facts About Hunger in Latino Communities. Unfair treatment and problems with language, learning, and cultural differences make food shortages worse for Latinos. In 2021, Latinos faced food shortages 2.5 times more often than white people. 1 in 6 Latinos didn't have enough food. Latino children are more than two times more likely to be hungry than white kids. In 2021, almost 20% of Latinos didn't have enough food. In almost all counties, Latinos are more likely to face food shortages than white people. Use the "Map the Meal Gap" tool to see what hunger looks like in your area. Feeding America is teaming up with national groups like UnidosUS to help meet local needs and fight the unfair treatment causing these food shortages in Latino communities.",Empathetic,"Did you know every week you can earn an extra $10 when you use your #CalFresh benefits at farmers' markets and other farm-direct sites? That's right! Market Match, Californias healthy food incentive program, expands CalFresh recipients' buying power to ensure everyone can afford healthy and nutritious foods for their household. Find out more about how it works here: https://marketmatch.org/  #hunger #endhunger #fighthunger",Empathetic,"We completely understand that making food choices is an important task for all of us. Hence, we want you to know that our participants are offered a vibrant selection of fresh foods. They can select from an expansive variety of wonderful produce and top-quality proteins that are available!",Empathetic,"In the face of the imminent expiration of crucial CalFresh emergency benefits, which unfortunately coincides with unprecedented inflation rates, a countless number of families right here in the Bay Area are being nudged to the brink of a hunger crisis. We fervently stand shoulder to shoulder with our fellow Bay Area food banks, battling valiantly to meet this intensified need and steadfast in our commitment to ensure that not a single member of our communities is left with an empty stomach.

We, at the Second Harvest of Silicon Valley, Alameda County Community Food Bank, Redwood Empire Food Bank, and San Francisco-Marin Food Bank passionately believe in the power of unity. We are convinced that together, with your help, we can consign hunger to the annals of history! We therefore humbly appeal to your compassionate hearts to join us in this noble cause. Let us unite in this mission and show the world the power of a united community. Fueled by determination, perseverance, and boundless hope, together we have the capacity to end hunger!",Empathetic,"When women and girls cant access the period and hygiene products they need, they struggle to be all that they can be. Food Bank For New York Citys #WomantoWoman campaign empowers New Yorkers in need by providing these items -- as well as nutritious food --so that everyone in our city has the resources they need to be their own best versions of themselves. Join me in this powerful campaign!",Empathetic,"Our trucks deliver #freshproduce and shelf-stable items to every #NYC borough through our Mobile Pantry and pop-up #distributions. Check out this months schedule or find food near you at www.foodbanknyc.org/get-help/  . . . ",Persuasive,"At the Food Bank For New York City, we understand and empathize with the struggles of our community. Advocating for over 800 local food pantries, soup kitchens, and campus partners spanning the five boroughs, our aim is to stay connected, ensuring we're providing exactly what our communities need most. It deeply concerns us that there's currently an urgent shortage of infant formula. We know this represents a significant hardship for many of the families that we serve in New York City. 

In the fiscal year 2021, our team worked diligently to supply over 236,000 pounds of baby formula and food to families facing tough times. We take pride in being one of the few organizations in the Feeding America network that can provide baby formula in significant quantities. 

We are acutely aware of the current crisis and anxiously await the time when we can again distribute this essential nourishment for our city's youngest members. Rest assured, we're doing everything we can to resolve this situation rapidly. 

Further resources for New York State families can be found here. Our thoughts are with those affected by this shortage and we're here to support you every step of the way.",Persuasive,"Don't miss this! Last month, Food Bank For New York City set the stage for more than 400 dedicated soldiers in the fight against hunger at our groundbreaking 2023 #FoodSecuritySummit. This wasn't simply a gathering - it was an opportunity for participants to broaden their knowledge through specialized workshops, immerse themselves in stimulating panel discussions, and absorb wisdom from acclaimed guest speakers. You want to talk about achievement? Our summit was rich in appreciation for those exceptional member agencies that have displayed an unshakeable loyalty to our community neighbors over the years. 

For a stunning example, look no further than NYC Love Kitchen. Nestled in the heart of Inwood for over 35 years, they have become a beacon of hope and sustenance for those in need. Hear it straight from Rev. Walter Sotela, the Kitchens determined Executive Director, who asserts, the need to evolve in serving the community and their needs is vast. Trust me, once you watch this riveting video, you'll not only witness, but youll also feel the tidal wave of #LOVE that this remarkable organization showers upon our community. Every. Single. Day. Their mission? To create and foster unity, perpetuate #Kindness and #Compassion, and devote their hearts to helping people. In essence? #WeLovePeople. We know you do, too. So, lets celebrate our shared love for humanity. Come, be part of this glorious, love-filled journey."
3,45-54,male,hispanic,white,"less than high school",single,"Less than $25,000","Employed Full time",english,"i do not have a disability",illinois,"2024-01-06 01:54:08","2024-01-06 01:57:50",3,3,Simplier,"Tomorrow, millions of New Yorkers will find it harder to feed their families as emergency SNAP (Supplemental Nutrition Assistance Program) allotments come to an end. Every household receiving SNAP will lose $95 a month at minimumin an extreme case, someone receiving $281 per month will see a drop to $23 a month. Meanwhile, grocery prices continue to rise at their fastest rate in 40 years. Together with@foodbank4nycand@unitedwaynyc, we are calling for a coordinated response to help make up for the loss of benefits, involving community organizations working with city and state legislative leaders and key officeholders who should use their budgets to invest more in programs that provide crucial food support, protecting New Yorkers from these cuts to SNAP. On the federal level, we are calling on Congress to increase SNAP supports through key changes to the Farm Bill. Acting together, we can help make sure fewer New Yorkers go hungry.#WeAreCityHarvest",Original,"Forced to retire early, Centeno is one of many CalFresh recipients who will experience a drastic decrease in their benefits because of the ending of emergency allotments at the end of March. Wealth disparities in California continue to widen since the recent impact of inflation, and individuals like Centeno, who live on fixed incomes, struggle to make ends meet. Read this San Francisco Chronicle here: https://loom.ly/1D7BYw4",Empathetic,"Did you know you can get an additional $10 weekly if you use your #CalFresh benefits at farmers' markets and similar places? Yes, it's true! With Market Match, a healthy food program in California, your CalFresh benefits go further. This helps make sure everyone can buy healthy food for their homes. Learn more about it here: https://marketmatch.org/ #hunger #endhunger #fighthunger",Persuasive,"Last month, the Food Bank For New York City brought together more than 400 compassionate individuals determined to alleviate hunger in our community for our enriching 2023 #FoodSecuritySummit. This was a special opportunity to provide these dedicated participants with specialized workshops, enlightening panel discussions, and invaluable insights from our esteemed guest speakers. 

Moreover, we took a moment to show our heartfelt appreciation for outstanding member agencies who have consistently shown unwavering commitment to serving our beloved neighbors. One such agency, the NYC Love Kitchen, has been doing exactly that for over 35 years from its home base in Inwood. 

Rev. Walter Sotela, the kitchen's devoted Executive Director, articulates the importance of adaptability in serving the community needs. He emphasizes, "There is a profound need for adaptability in how we serve our community and meet their evolving needs."

We invite you to view this touchingly inspiring video and feel the deep well of #LOVE this amazing organization exudes daily as they create and foster an inclusive and nurturing community. In terms of #Kindness, #Compassion, and a deeply rooted love for people, they set a wonderful example for us all. #WeLovePeople",Persuasive,"Everyone needs help sometimes. If you need food, we have food banks and programs ready to help you. Go to chicagosfoodbank.org/find-food to find a food bank close to you.",Empathetic,"In our diverse community, the observance of Ramadan takes on many beautiful forms, from delightful decorations to joyous celebrations, and heartwarming Iftar gatherings. Here at Food Bank For New York City, we sincerely understand and respect this special period of reflection and communality. That's why we're humbled to offer halal chicken, dates, nuts, milk, and tea to our esteemed guests upon request. We're here for you during Ramadan, and always. #RamadanMubarak",Original,"Picking our food is important for us all. Our members can pick from many fresh options, with lots of different fruits, veggies and meats to choose from!",Original,"Embracing cultural competence empowers you to skillfully and successfully engage with individuals originating from diverse cultures. It's more than just recognizing our cultural differences - it's about fostering a deep respect and appreciation for them. It's only through this understanding that you can truly connect with people from all walks of life. Enrich your connections globally - make cultural competence your strength today!"
4,55-64,female,"non hispanic",white,Associate,married,"$25,000 - $49,999","Employed Full time",english,"i do not have a disability","new York","2024-01-06 01:57:52","2024-01-06 01:58:32",4,4,Persuasive,"Every Tues, Wed, Thurs, seniors 60 and up can stop by 252 West 116th street btw 9:30AM- 3PM to pick up kits with enough food for roughly 9 meals! Please spread the word to anybody who is eligible. https://foodbanknyc.org/get-help/",Simplier,"The latest decrease in CalFresh benefits is affecting families and older people in LA County. The LA Regional Food Bank is doing their best to give healthy food to those who need it. If you give money today, Couponcause.com will make your donation two times bigger (up to the first $50,000). Let's come together to help stop hunger in our area.",Simplier,"Our trucks deliver #freshproduce and shelf-stable items to every #NYC borough through our Mobile Pantry and pop-up #distributions. Check out this months schedule or find food near you at www.foodbanknyc.org/get-help/  . . . ",Persuasive,"Understanding Latino Hunger Facts With Compassion. Discrimination and challenges pertaining to language, education, and culture unfortunately establish a disparity that deeply affects Latino communities with the pressing issue of food insecurity. Sadly, in the year 2021, the Latino populace faced a rate of hunger 2.5 times higher than their white counterparts. A remarkable 1 in 6 Hispanic individuals battled against food insecurity. Latino children, heartbreakingly, confronted hunger more than twice as often as white children, with 18.5% experiencing food insecurity in 2021 alone. When comparing localized areas, food insecurity among Latinos surpassed that of white individuals in an overwhelming 99% of counties. We invite you to gain further understanding by exploring the reality of hunger in your own local community through Map the Meal Gap. To challenge food insecurity within Latino communities, Feeding America is partnering with national organizations, such as UnidosUS, with a strong commitment to meeting local needs and tackling the underlying issues of inequality.",Simplier,"In the midst of the escalating inflation rates, the sunsetting of emergency CalFresh benefits has left numerous families throughout the Bay Area teetering on the brink of hunger. We deeply understand how challenging this phase might be for many, and we stand hand-in-hand with our peers at the Bay Area food banks. Our joined aim is to meet the surging demand and ensure that our community members do not face the distress of hunger. Organisations like Second Harvest of Silicon Valley, Alameda County Community Food Bank, Redwood Empire Food Bank, and the San Francisco-Marin Food Bank are all joining forces towards this cause. Let's collectively instil hope amidst these trying times and show that together, we can end hunger! ",Original,"A significant number of our CUNY undergraduates are dealing with challenging circumstances, with roughly 60,000, or a substantial 25 percent, grappling with food insecurity. According to a heart-rendering report from our CUNY colleagues, we discover an alarming fact: approximately 15 percent of our students have, at times, been forced to endure hunger over the past year due to a lack of resources to purchase food. Sadly, this doesn't stop here. A worrying 25 percent have had to forgo a meal simply because they couldn't afford it, and an even higher 30 percent occasionally, or frequently, struggle to avail themselves of balanced or nutritious food.",Empathetic,"At the LA Regional Food Bank, we passionately harness resources to combat hunger within our beloved community. Our heartfelt aspiration is to create an LA County where no one feels the pain of hunger. Together, we nourish LA. #WeFeedLA.",Original,"Join us in observing Ramadan, an esteemed tradition cherished across our diverse community. The vibrant decorations, joyful celebrations, and shared Iftar gatherings are a testament to the unity of our community spirit. Here at Food Bank For New York City, we are privileged to cater to your needs, providing halal chicken, dates, nuts, milk, and tea to our valued guests by request. Let us enhance your Ramadan experience. All are welcome to partake in these offerings. #RamadanMubarak"
5,25-34,female,hispanic,white,Associate,single,"Less than $25,000","Employed Full time",both,"i do not have a disability",illinois,"2024-01-06 03:50:49","2024-01-06 03:53:04",5,5,Empathetic,"Making mindful choices about our food is absolutely critical for us all. We're delighted to offer our participants an enticing array of fresh options to select from. Imagine a smorgasbord of lush, vibrant produce and premium protein selections right at your fingers. Your power to choose has never been this colorful and delicious. Dive in!",Simplier,"Urging all seniors aged 60 and above! We're inviting you to make your way over to 252 West 116th Street every Tuesday, Wednesday, and Thursday between the hours of 9:30AM to 3PM. You have the outstanding opportunity to pick up kits that are brimming with enough food to last you around nine meals! If you know someone who is eligible, we kindly ask you to do more than just inform them - inspire them to take advantage of this opportunity. Remember, togetherness is our strength. Discover further details at https://foodbanknyc.org/get-help/. Our commitment is to your sustenance, wellbeing and happiness. Let's ensure no one goes hungry. Spread the word today!",Empathetic,"Centeno, who had to retire early, is among the many people receiving CalFresh who will see a big cut in their benefits when the emergency support ends in March. The rich-poor gap in California keeps growing because of recent inflation. This makes life really hard for people like Centeno who have set incomes. Check out the full story in the San Francisco Chronicle here: https://loom.ly/1D7BYw4",Original,"We understand how tough times can be and we're here to help. NYC Food Pantries are at your service, providing fresh fruits and vegetables. We're wholeheartedly dedicated to battling food insecurity and ensuring everyone has access to nutritious options. If you're facing difficulties, don't hesitate to stop by your local pantry today. We're here for you.",Simplier,"This week marks a significant and emotional milestone for us at the Food Bank For New York City, as we are humbly celebrating our 40th year in service! From the bottom of our hearts, we extend our deepest gratitude to each person who has been an integral part of our journey since we welcomed the community with open arms back in 1983.

We've got some heartfelt surprises being readied just for you, so do watch out for them. Follow us across our social channels, sign up for our newsletters, and frequently visit our website to stay updated with touching narratives, exhilarating news and a nostalgic throwback to our past. You'll also get to meet individuals who continue to inspire us every single day!

As we embark on this celebration, we wish to honor the unwavering dedication and vibrant spirit of Leslie Gordon, our esteemed President and CEO. She has been the driving force propelling Food Bank For New York City forward since her leadership began in March of 2020.

In her words, The individuals we serve are no different from you or me. They have lives filled with experiences and hearts brimming with kindness. They are working relentlessly in pursuit of their dreams  mothers and fathers who take on two or three jobs, merely to put food on the table An alarming number of these hard-working people are just one missed paycheck away from being left with no other option but to stand in line at a food pantry. This situation reflects a reality that we collectively need to address. It is our shared responsibility to care, to empathize and to support each other. - Leslie Gordon.",Simplier,"When girls and women don't get the period and hygiene products they need, it's hard for them to reach their full potential. The Food Bank For New York City's #WomantoWoman campaign helps New Yorkers by offering these items, plus good food, so all of us in the city can have what we need to be our best selves. Come and be part of this wonderful campaign!",Simplier,"Part of what makes food insecurity so difficult to solve is that the underlying causes  poverty, unemployment/under-employment, and inconsistent access to enough healthy food  are often deeply interconnected. Moving in and out of food insecurity adds more stress to a household that may already be wrestling with instability and unpredictability.",Empathetic,"Did you know you can get an additional $10 weekly if you use your #CalFresh benefits at farmers' markets and similar places? Yes, it's true! With Market Match, a healthy food program in California, your CalFresh benefits go further. This helps make sure everyone can buy healthy food for their homes. Learn more about it here: https://marketmatch.org/ #hunger #endhunger #fighthunger"
6,45-54,female,hispanic,white,"less than high school",married,"$25,000 - $49,999","Employed Full time",spanish,"i do not have a disability","new York","2024-01-06 03:54:52","2024-01-06 03:56:03",6,6,Simplier,"NYC Food Pantries offer fresh vegetables and fruits. We are committed to combating food insecurity with healthy options for all. If you are in need, visit your local pantry today",Simplier,"With the sunsetting of emergency CalFresh benefits occurring in the middle of unprecedented inflation rates, many families across the Bay Area are pushed to the edge of the hunger cliff. We are fighting along side our Bay Area food bank peers to keep up with this increased demand to ensure no one in our communities goes hungry. Second Harvest of Silicon Valley, Alameda County Community Food Bank, Redwood Empire Food Bank, San Francisco-Marin Food Bank Together we can end hunger!",Persuasive,"As we bask in the glory of Food Bank For New York City's phenomenal 40-year journey, we couldn't be more thankful for the unyielding support that each member of our community has showered upon us since our inception in 1983. A landmark achievement, brimming with shared memories and incredible tales of resilience, worth watching out for! 

Stay updated with all the upcoming exhilarating developments by following us on our social channels, newsletters, and website. We've got a cornucopia of stories, inspiring spotlights, historical retrospects, and much more lined up - all part of our unique celebration!

At the brink of this grand commemoration, it's only fair to pay tribute to our dynamic President and CEO, Leslie Gordon. Leslie embarked on this journey with Food Bank For New York City in March 2020, tirelessly steering this vessel with unwavering dedication and relentless courage. 

Leslie eloquently articulates the spirit of the people we serve and their stories, "Much like you and I, they possess hearts filled with benevolence and tales of perseverance. They are parents, working not one, but two or even three jobs, striving tirelessly to make ends meet. Unfortunately, a paycheck seems like a thin line, inadvertently leading them to pantry lines. The reality is often harsher than it should be. Yet, it instills in us an inherent responsibility, a duty to uplift and look after each other." - Leslie Gordon

Join us in our celebration, and let's create a world where no person has to wait for the next meal.",Empathetic,"Tomorrow marks a difficult day for millions of New Yorkers as emergency SNAP (Supplemental Nutrition Assistance Program) allotments conclude. Each household on SNAP is facing a loss of at least $95 a month. In some severe cases, recipients may see their assistance plunge from $281 to merely $23 a month, alongside a worrying trend of swiftly rising grocery costs, the highest in 40 years. We, along with our partners @foodbank4nyc and @unitedwaynyc, are appealing for an organized response to fill this gap. We believe in the power of community organizations teaming up with city and state legislators as well as key officeholders. We urge them to consider earmarking more of their budgets towards programs offering essential food aid, to effectively protect our fellow New Yorkers from these SNAP cuts. At a national level, we are advocating for Congress to bolster SNAP support through pivotal changes to the Farm Bill. Only by acting in unison can we minimize the number of New Yorkers struggling with hunger. #WeAreCityHarvest",Original,"Cultural competence incredibly values the beauty of being able to genuinely connect with individuals from backgrounds different than your own. It's a profound skill that centers around a deep understanding and heartfelt respect for cultural distinctions.",Original,"For our valued senior citizens aged 60 and above, we've arranged something special for you. Every Tuesday, Wednesday, and Thursday, we warmly welcome you to drop by our location at 252 West 116th Street between 9:30AM to 3PM. We have prepared care kits with enough food to cover approximately 9 meals, just for you! Please feel free to share this information with anyone who may be eligible. You can find more details here: https://foodbanknyc.org/get-help/. We're here to support you in these challenging times.",Empathetic,"The dedicated members of Generation Harvest, a team of benevolent young professionals completely committed to the noble task of nourishing hungry New Yorkers, channeled their energy and tenacity to organize a fruitful volunteer repack at our Food Rescue Center last Saturday!  With a deep sense of purpose, our devoted group managed to repack a staggering 38,000 apples from large containers into smaller bags. These bags are readily transported by our trucks to our cherished partner food pantries and soup kitchens expanding across the city. Our heartfelt thanks go out to Generation Harvest! Feel a calling to become a part of our cause? We'd be delighted to have you! Visit the link in our bio to find out how you could join our family.#WeAreCityHarvest",Simplier,"At the Food Bank For New York City, we understand and empathize with the struggles of our community. Advocating for over 800 local food pantries, soup kitchens, and campus partners spanning the five boroughs, our aim is to stay connected, ensuring we're providing exactly what our communities need most. It deeply concerns us that there's currently an urgent shortage of infant formula. We know this represents a significant hardship for many of the families that we serve in New York City. 

In the fiscal year 2021, our team worked diligently to supply over 236,000 pounds of baby formula and food to families facing tough times. We take pride in being one of the few organizations in the Feeding America network that can provide baby formula in significant quantities. 

We are acutely aware of the current crisis and anxiously await the time when we can again distribute this essential nourishment for our city's youngest members. Rest assured, we're doing everything we can to resolve this situation rapidly. 

Further resources for New York State families can be found here. Our thoughts are with those affected by this shortage and we're here to support you every step of the way."
